x,y
-1,1.60804
-0.999,1.60804
-0.998,1.20603
-0.997,0.80402
-0.996,0.40201
-0.995,-1.20603
-0.994,-2.41206
-0.993,-2.81407
-0.992,-0.40201
-0.991,1.20603
-0.99,2.01005
-0.989,2.01005
-0.988,1.60804
-0.987,1.60804
-0.986,0.40201
-0.985,-1.60804
-0.984,-3.21608
-0.983,-2.41206
-0.982,-0.40201
-0.981,0.80402
-0.98,2.01005
-0.979,1.60804
-0.978,2.01005
-0.977,1.60804
-0.976,0.40201
-0.975,-1.20603
-0.974,-2.01005
-0.973,-2.01005
-0.972,0
-0.971,1.20603
-0.97,2.41206
-0.969,2.41206
-0.968,2.41206
-0.967,1.20603
-0.966,0.40201
-0.965,-2.81407
-0.964,-4.020101
-0.963,-3.21608
-0.962,0.40201
-0.961,2.01005
-0.96,2.81407
-0.959,2.41206
-0.958,1.60804
-0.957,0.80402
-0.956,0.80402
-0.955,-0.80402
-0.954,-0.40201
-0.953,-1.20603
-0.952,0.80402
-0.951,2.01005
-0.95,1.60804
-0.949,1.60804
-0.948,1.60804
-0.947,1.20603
-0.946,0
-0.945,-2.81407
-0.944,-4.020101
-0.943,-2.41206
-0.942,0.40201
-0.941,1.60804
-0.94,2.01005
-0.939,1.60804
-0.938,2.01005
-0.937,2.01005
-0.936,2.01005
-0.935,-0.40201
-0.934,-0.80402
-0.933,-2.41206
-0.932,0
-0.931,1.60804
-0.93,2.01005
-0.929,2.01005
-0.928,1.60804
-0.927,1.60804
-0.926,0.40201
-0.925,-2.81407
-0.924,-4.020101
-0.923,-4.824121
-0.922,-1.20603
-0.921,0.80402
-0.92,2.01005
-0.919,2.41206
-0.918,2.01005
-0.917,1.60804
-0.916,0.80402
-0.915,-1.60804
-0.914,-2.01005
-0.913,-2.01005
-0.912,-1.20603
-0.911,-0.40201
-0.91,-0.40201
-0.909,-0.40201
-0.908,0
-0.907,0.40201
-0.906,0.40201
-0.905,-2.01005
-0.904,-2.81407
-0.903,-2.81407
-0.902,-0.40201
-0.901,1.60804
-0.9,2.41206
-0.899,2.01005
-0.898,0.80402
-0.897,1.20603
-0.896,0.40201
-0.895,-2.41206
-0.894,-4.020101
-0.893,-4.020101
-0.892,-1.60804
-0.891,0
-0.89,0.80402
-0.889,1.20603
-0.888,1.60804
-0.887,1.60804
-0.886,0.40201
-0.885,-3.21608
-0.884,-4.020101
-0.883,-5.226131
-0.882,-2.01005
-0.881,0
-0.88,1.20603
-0.879,1.60804
-0.878,1.20603
-0.877,1.20603
-0.876,0
-0.875,-2.81407
-0.874,-2.41206
-0.873,-2.81407
-0.872,-0.40201
-0.871,0.40201
-0.87,0.40201
-0.869,0
-0.868,0.40201
-0.867,-0.40201
-0.866,-0.40201
-0.865,-2.01005
-0.864,-3.61809
-0.863,-2.81407
-0.862,0
-0.861,1.20603
-0.86,2.01005
-0.859,2.81407
-0.858,2.41206
-0.857,2.01005
-0.856,2.01005
-0.855,-0.40201
-0.854,-1.20603
-0.853,-2.01005
-0.852,0.40201
-0.851,1.20603
-0.85,2.01005
-0.849,2.41206
-0.848,2.41206
-0.847,2.81407
-0.846,2.41206
-0.845,-0.40201
-0.844,-1.60804
-0.843,-2.01005
-0.842,0.40201
-0.841,2.41206
-0.84,3.61809
-0.839,3.61809
-0.838,3.21608
-0.837,2.41206
-0.836,2.01005
-0.835,0.40201
-0.834,0
-0.833,-2.01005
-0.832,0.40201
-0.831,1.60804
-0.83,2.41206
-0.829,2.41206
-0.828,2.81407
-0.827,2.81407
-0.826,2.41206
-0.825,-1.20603
-0.824,-2.41206
-0.823,-2.81407
-0.822,0
-0.821,1.60804
-0.82,2.01005
-0.819,2.01005
-0.818,1.60804
-0.817,1.20603
-0.816,1.20603
-0.815,0
-0.814,-1.20603
-0.813,-1.20603
-0.812,0.80402
-0.811,1.60804
-0.81,2.01005
-0.809,2.01005
-0.808,1.60804
-0.807,1.20603
-0.806,0.80402
-0.805,-1.60804
-0.804,-2.41206
-0.803,-3.21608
-0.802,0.40201
-0.801,1.60804
-0.8,2.01005
-0.799,1.60804
-0.798,2.01005
-0.797,0.80402
-0.796,0.40201
-0.795,-1.20603
-0.794,-1.20603
-0.793,-2.01005
-0.792,0
-0.791,1.20603
-0.79,2.01005
-0.789,2.41206
-0.788,2.41206
-0.787,1.20603
-0.786,0.40201
-0.785,-1.60804
-0.784,-3.21608
-0.783,-3.61809
-0.782,-1.60804
-0.781,0.80402
-0.78,2.01005
-0.779,2.41206
-0.778,2.01005
-0.777,2.01005
-0.776,1.60804
-0.775,-0.40201
-0.774,-1.20603
-0.773,-2.01005
-0.772,-0.40201
-0.771,1.20603
-0.77,1.60804
-0.769,1.60804
-0.768,0.80402
-0.767,0.40201
-0.766,0.40201
-0.765,-2.81407
-0.764,-3.21608
-0.763,-4.020101
-0.762,-1.60804
-0.761,0.80402
-0.76,1.60804
-0.759,2.01005
-0.758,2.01005
-0.757,1.60804
-0.756,0.80402
-0.755,-0.80402
-0.754,-1.60804
-0.753,-2.01005
-0.752,0
-0.751,1.20603
-0.75,2.01005
-0.749,2.41206
-0.748,2.01005
-0.747,1.20603
-0.746,1.20603
-0.745,-3.61809
-0.744,-2.41206
-0.743,-3.21608
-0.742,-0.40201
-0.741,1.20603
-0.74,2.41206
-0.739,2.81407
-0.738,2.81407
-0.737,2.01005
-0.736,0.80402
-0.735,-0.80402
-0.734,-2.01005
-0.733,-3.21608
-0.732,-1.20603
-0.731,0.40201
-0.73,1.20603
-0.729,1.60804
-0.728,1.60804
-0.727,1.60804
-0.726,0.80402
-0.725,-0.80402
-0.724,-2.01005
-0.723,-2.81407
-0.722,-0.80402
-0.721,1.20603
-0.72,1.60804
-0.719,1.60804
-0.718,2.01005
-0.717,1.60804
-0.716,0.80402
-0.715,-1.60804
-0.714,-2.41206
-0.713,-3.21608
-0.712,-0.80402
-0.711,1.20603
-0.71,2.01005
-0.709,2.01005
-0.708,2.41206
-0.707,2.01005
-0.706,0.80402
-0.705,-1.60804
-0.704,-2.81407
-0.703,-2.81407
-0.702,-0.80402
-0.701,0.80402
-0.7,2.01005
-0.699,1.60804
-0.698,1.60804
-0.697,1.20603
-0.696,1.60804
-0.695,0.40201
-0.694,-1.60804
-0.693,-1.20603
-0.692,0.40201
-0.691,1.60804
-0.69,2.01005
-0.689,2.41206
-0.688,2.01005
-0.687,2.41206
-0.686,1.60804
-0.685,-0.40201
-0.684,-2.41206
-0.683,-3.21608
-0.682,-0.40201
-0.681,0.80402
-0.68,1.60804
-0.679,2.01005
-0.678,1.60804
-0.677,1.20603
-0.676,0
-0.675,-0.80402
-0.674,-1.60804
-0.673,-1.20603
-0.672,-0.80402
-0.671,0.80402
-0.67,1.60804
-0.669,1.60804
-0.668,1.20603
-0.667,1.20603
-0.666,1.20603
-0.665,-1.60804
-0.664,-1.60804
-0.663,-4.422111
-0.662,-1.20603
-0.661,0.40201
-0.66,1.20603
-0.659,1.60804
-0.658,2.01005
-0.657,1.20603
-0.656,2.01005
-0.655,-0.80402
-0.654,-2.81407
-0.653,-2.41206
-0.652,-0.80402
-0.651,0.40201
-0.65,1.60804
-0.649,2.01005
-0.648,2.01005
-0.647,2.01005
-0.646,2.01005
-0.645,-2.01005
-0.644,-3.21608
-0.643,-2.81407
-0.642,0
-0.641,1.60804
-0.64,2.41206
-0.639,2.41206
-0.638,1.60804
-0.637,1.60804
-0.636,0.80402
-0.635,-1.20603
-0.634,-1.60804
-0.633,-1.20603
-0.632,0.40201
-0.631,1.60804
-0.63,2.41206
-0.629,2.01005
-0.628,2.81407
-0.627,2.01005
-0.626,1.60804
-0.625,-1.60804
-0.624,-2.01005
-0.623,-2.41206
-0.622,-1.60804
-0.621,0.40201
-0.62,0.80402
-0.619,1.20603
-0.618,2.01005
-0.617,1.20603
-0.616,0.80402
-0.615,-1.60804
-0.614,-1.60804
-0.613,-2.01005
-0.612,-1.60804
-0.611,0.40201
-0.61,1.60804
-0.609,2.01005
-0.608,1.60804
-0.607,1.60804
-0.606,0.80402
-0.605,-1.20603
-0.604,-2.81407
-0.603,-2.41206
-0.602,-1.60804
-0.601,0.40201
-0.6,1.60804
-0.599,2.41206
-0.598,2.01005
-0.597,0.80402
-0.596,0
-0.595,-0.80402
-0.594,-1.20603
-0.593,-1.60804
-0.592,-0.80402
-0.591,0.40201
-0.59,1.20603
-0.589,1.20603
-0.588,1.20603
-0.587,1.60804
-0.586,0.80402
-0.585,-0.80402
-0.584,-1.60804
-0.583,-2.81407
-0.582,-1.60804
-0.581,0
-0.58,0.80402
-0.579,0.80402
-0.578,0.80402
-0.577,0.80402
-0.576,1.20603
-0.575,0.40201
-0.574,0
-0.573,-1.20603
-0.572,0
-0.571,1.60804
-0.57,2.41206
-0.569,1.60804
-0.568,1.60804
-0.567,2.01005
-0.566,1.60804
-0.565,0
-0.564,-1.20603
-0.563,-2.01005
-0.562,-0.40201
-0.561,1.20603
-0.56,2.41206
-0.559,2.81407
-0.558,2.81407
-0.557,1.60804
-0.556,1.20603
-0.555,0
-0.554,-0.80402
-0.553,-2.41206
-0.552,-2.01005
-0.551,0.40201
-0.55,0.80402
-0.549,0.80402
-0.548,1.20603
-0.547,0.80402
-0.546,0.40201
-0.545,-2.81407
-0.544,-2.41206
-0.543,-4.020101
-0.542,-2.01005
-0.541,0.80402
-0.54,2.01005
-0.539,1.60804
-0.538,1.60804
-0.537,1.20603
-0.536,1.20603
-0.535,-2.01005
-0.534,-1.60804
-0.533,-2.41206
-0.532,0
-0.531,1.60804
-0.53,2.01005
-0.529,2.41206
-0.528,2.01005
-0.527,1.60804
-0.526,1.20603
-0.525,-1.20603
-0.524,-2.41206
-0.523,-3.21608
-0.522,-1.60804
-0.521,0
-0.52,1.20603
-0.519,1.60804
-0.518,2.01005
-0.517,2.01005
-0.516,2.41206
-0.515,0.40201
-0.514,-0.80402
-0.513,-2.01005
-0.512,-0.80402
-0.511,0.80402
-0.51,1.20603
-0.509,2.01005
-0.508,2.01005
-0.507,1.60804
-0.506,1.20603
-0.505,-1.20603
-0.504,-2.01005
-0.503,-3.61809
-0.502,-2.01005
-0.501,0
-0.5,0.80402
-0.499,1.20603
-0.498,0.80402
-0.497,0.40201
-0.496,-0.40201
-0.495,-1.20603
-0.494,-2.81407
-0.493,-3.21608
-0.492,-1.20603
-0.491,1.20603
-0.49,2.01005
-0.489,2.81407
-0.488,2.81407
-0.487,2.01005
-0.486,2.01005
-0.485,-0.80402
-0.484,-2.01005
-0.483,-2.41206
-0.482,-1.60804
-0.481,0.80402
-0.48,0.80402
-0.479,1.60804
-0.478,1.60804
-0.477,1.60804
-0.476,1.20603
-0.475,-0.80402
-0.474,-2.01005
-0.473,-2.41206
-0.472,-1.60804
-0.471,1.20603
-0.47,1.60804
-0.469,1.60804
-0.468,1.60804
-0.467,1.60804
-0.466,0.80402
-0.465,-1.20603
-0.464,-2.81407
-0.463,-3.61809
-0.462,-1.60804
-0.461,0.40201
-0.46,2.01005
-0.459,2.01005
-0.458,1.60804
-0.457,1.20603
-0.456,0.80402
-0.455,-0.40201
-0.454,-1.60804
-0.453,-2.01005
-0.452,-1.20603
-0.451,0.80402
-0.45,1.60804
-0.449,1.20603
-0.448,1.20603
-0.447,1.20603
-0.446,0.80402
-0.445,-0.80402
-0.444,-2.81407
-0.443,-2.81407
-0.442,-1.20603
-0.441,0.80402
-0.44,2.41206
-0.439,2.41206
-0.438,1.20603
-0.437,0.80402
-0.436,0.40201
-0.435,-0.80402
-0.434,-2.81407
-0.433,-2.81407
-0.432,-1.20603
-0.431,0.40201
-0.43,0.80402
-0.429,0.80402
-0.428,1.20603
-0.427,2.01005
-0.426,1.60804
-0.425,0
-0.424,-2.41206
-0.423,-2.41206
-0.422,-1.20603
-0.421,1.60804
-0.42,1.60804
-0.419,2.01005
-0.418,1.20603
-0.417,0.80402
-0.416,1.20603
-0.415,-1.20603
-0.414,-2.01005
-0.413,-2.01005
-0.412,-0.80402
-0.411,0
-0.41,1.20603
-0.409,2.01005
-0.408,1.60804
-0.407,2.01005
-0.406,2.01005
-0.405,0
-0.404,-0.40201
-0.403,-2.01005
-0.402,-2.01005
-0.401,0.40201
-0.4,1.60804
-0.399,1.60804
-0.398,1.60804
-0.397,1.20603
-0.396,1.20603
-0.395,-1.20603
-0.394,-2.41206
-0.393,-2.41206
-0.392,-1.60804
-0.391,0
-0.39,1.20603
-0.389,1.60804
-0.388,1.60804
-0.387,1.60804
-0.386,1.20603
-0.385,-0.80402
-0.384,-2.81407
-0.383,-2.41206
-0.382,-2.01005
-0.381,0.80402
-0.38,2.01005
-0.379,1.60804
-0.378,2.01005
-0.377,1.20603
-0.376,1.60804
-0.375,0.40201
-0.374,-0.40201
-0.373,-1.20603
-0.372,-0.40201
-0.371,1.20603
-0.37,2.01005
-0.369,2.01005
-0.368,1.60804
-0.367,1.60804
-0.366,1.20603
-0.365,0
-0.364,-1.20603
-0.363,-2.01005
-0.362,-1.20603
-0.361,1.20603
-0.36,1.60804
-0.359,1.20603
-0.358,0.80402
-0.357,0.40201
-0.356,-0.40201
-0.355,-1.20603
-0.354,-2.41206
-0.353,-2.41206
-0.352,-1.60804
-0.351,0.80402
-0.35,2.01005
-0.349,2.01005
-0.348,2.01005
-0.347,1.60804
-0.346,1.60804
-0.345,0
-0.344,-3.21608
-0.343,-3.21608
-0.342,-1.60804
-0.341,0.40201
-0.34,2.01005
-0.339,2.01005
-0.338,2.41206
-0.337,2.01005
-0.336,1.60804
-0.335,-0.40201
-0.334,-1.20603
-0.333,-1.60804
-0.332,-0.80402
-0.331,1.60804
-0.33,2.01005
-0.329,1.60804
-0.328,1.60804
-0.327,1.20603
-0.326,0.40201
-0.325,-1.60804
-0.324,-2.41206
-0.323,-3.61809
-0.322,-2.41206
-0.321,0
-0.32,1.20603
-0.319,2.01005
-0.318,1.60804
-0.317,2.01005
-0.316,1.20603
-0.315,-0.40201
-0.314,-1.60804
-0.313,-2.81407
-0.312,-1.60804
-0.311,0.40201
-0.31,2.01005
-0.309,2.41206
-0.308,2.41206
-0.307,1.60804
-0.306,1.60804
-0.305,-1.60804
-0.304,-2.81407
-0.303,-3.61809
-0.302,-2.81407
-0.301,0.40201
-0.3,1.60804
-0.299,1.60804
-0.298,2.41206
-0.297,2.01005
-0.296,2.01005
-0.295,1.20603
-0.294,-1.60804
-0.293,-1.20603
-0.292,-1.20603
-0.291,0.80402
-0.29,2.01005
-0.289,2.01005
-0.288,2.01005
-0.287,1.20603
-0.286,1.20603
-0.285,-0.80402
-0.284,-2.01005
-0.283,-3.21608
-0.282,-2.41206
-0.281,0.40201
-0.28,1.20603
-0.279,2.01005
-0.278,2.41206
-0.277,2.01005
-0.276,1.60804
-0.275,0.40201
-0.274,-1.20603
-0.273,-2.01005
-0.272,-1.60804
-0.271,-0.40201
-0.27,1.20603
-0.269,1.60804
-0.268,1.60804
-0.267,2.01005
-0.266,2.01005
-0.265,0.40201
-0.264,-2.01005
-0.263,-3.21608
-0.262,-1.60804
-0.261,0
-0.26,1.60804
-0.259,1.60804
-0.258,1.60804
-0.257,1.20603
-0.256,1.60804
-0.255,-0.40201
-0.254,-0.80402
-0.253,-1.60804
