x,y
-1,0.402
-0.999,0.402
-0.998,0
-0.997,-0.402
-0.996,0
-0.995,-0.804
-0.994,0.402
-0.993,1.21
-0.992,2.01
-0.991,2.01
-0.99,1.61
-0.989,-0.402
-0.988,-0.804
-0.987,-1.21
-0.986,-1.61
-0.985,-2.01
-0.984,-2.01
-0.983,-0.804
-0.982,-0.402
-0.981,0.402
-0.98,0.804
-0.979,0.804
-0.978,1.61
-0.977,1.61
-0.976,0.804
-0.975,-0.402
-0.974,0
-0.973,1.21
-0.972,1.61
-0.971,1.61
-0.97,0.804
-0.969,0
-0.968,-0.402
-0.967,-1.21
-0.966,-2.01
-0.965,-2.41
-0.964,-2.41
-0.963,-1.21
-0.962,0
-0.961,0.402
-0.96,0
-0.959,0.402
-0.958,0.402
-0.957,0.804
-0.956,0.402
-0.955,-0.402
-0.954,-0.402
-0.953,0.804
-0.952,0.402
-0.951,0
-0.95,0.402
-0.949,-0.804
-0.948,-1.21
-0.947,-0.804
-0.946,-1.21
-0.945,-1.61
-0.944,-1.21
-0.943,0.402
-0.942,0.804
-0.941,0.402
-0.94,0.402
-0.939,0.804
-0.938,1.21
-0.937,1.21
-0.936,0.402
-0.935,0
-0.934,-0.402
-0.933,0
-0.932,0.804
-0.931,0.804
-0.93,0.402
-0.929,0
-0.928,0
-0.927,0.402
-0.926,0
-0.925,-1.21
-0.924,-2.41
-0.923,-0.804
-0.922,-0.402
-0.921,0
-0.92,0.402
-0.919,1.21
-0.918,0.804
-0.917,0.804
-0.916,0
-0.915,-0.402
-0.914,0
-0.913,1.61
-0.912,1.61
-0.911,0.402
-0.91,0.402
-0.909,0.804
-0.908,0.804
-0.907,1.21
-0.906,-0.402
-0.905,0
-0.904,-0.402
-0.903,-0.402
-0.902,-0.402
-0.901,0
-0.9,0.402
-0.899,0.402
-0.898,0.402
-0.897,1.21
-0.896,-0.402
-0.895,-1.21
-0.894,-0.402
-0.893,1.21
-0.892,1.21
-0.891,1.21
-0.89,1.21
-0.889,1.61
-0.888,1.21
-0.887,1.21
-0.886,-0.804
-0.885,-1.61
-0.884,-1.21
-0.883,0.804
-0.882,1.21
-0.881,2.81
-0.88,3.22
-0.879,2.41
-0.878,1.61
-0.877,0.402
-0.876,-0.402
-0.875,-1.61
-0.874,-1.61
-0.873,-1.21
-0.872,-0.804
-0.871,0
-0.87,0.402
-0.869,0
-0.868,-0.804
-0.867,-1.21
-0.866,-1.61
-0.865,-2.41
-0.864,-2.01
-0.863,-0.804
-0.862,0
-0.861,0.804
-0.86,0.402
-0.859,0.804
-0.858,0.804
-0.857,0.804
-0.856,0.402
-0.855,-0.804
-0.854,-1.21
-0.853,-0.402
-0.852,0.804
-0.851,1.21
-0.85,0.804
-0.849,-0.402
-0.848,-0.804
-0.847,-1.21
-0.846,-2.41
-0.845,-1.61
-0.844,-1.61
-0.843,0
-0.842,1.21
-0.841,1.61
-0.84,1.61
-0.839,1.61
-0.838,2.41
-0.837,2.81
-0.836,2.01
-0.835,2.01
-0.834,0.804
-0.833,1.21
-0.832,-0.402
-0.831,-0.804
-0.83,0
-0.829,0.402
-0.828,0
-0.827,-1.61
-0.826,-1.61
