x,y
-0.497,0.402
-0.496,0
-0.495,0
-0.494,-0.804
-0.493,0.804
-0.492,1.21
-0.491,0.804
-0.49,1.21
-0.489,0.402
-0.488,0
-0.487,-0.804
-0.486,-1.21
-0.485,-0.804
-0.484,-0.804
-0.483,0
-0.482,0
-0.481,0.804
-0.48,1.21
-0.479,0.402
-0.478,0.804
-0.477,2.01
-0.476,0.804
-0.475,0
-0.474,-1.21
-0.473,0
-0.472,0.402
-0.471,0.402
-0.47,0.402
-0.469,0.402
-0.468,0.402
-0.467,0
-0.466,0
-0.465,-1.21
-0.464,-1.61
-0.463,-0.402
-0.462,0.402
-0.461,1.61
-0.46,1.61
-0.459,2.01
-0.458,2.01
-0.457,1.21
-0.456,0.804
-0.455,0
-0.454,0
-0.453,0.402
-0.452,0
-0.451,0.402
-0.45,0.804
-0.449,0.402
-0.448,-0.402
-0.447,-1.61
-0.446,-2.01
-0.445,-1.61
-0.444,-1.61
-0.443,-1.21
-0.442,-0.402
-0.441,0.402
-0.44,0.804
-0.439,1.21
-0.438,0.804
-0.437,1.21
-0.436,0.402
-0.435,0
-0.434,-0.804
-0.433,0.402
-0.432,1.21
-0.431,1.21
-0.43,0.402
-0.429,-0.402
-0.428,-0.804
-0.427,-0.804
-0.426,-1.61
-0.425,-1.61
-0.424,-1.61
-0.423,-0.402
-0.422,0
-0.421,1.21
-0.42,1.21
-0.419,1.61
-0.418,1.21
-0.417,1.61
-0.416,0.804
-0.415,0.402
-0.414,0.804
-0.413,1.61
-0.412,0.402
-0.411,0.804
-0.41,0.402
-0.409,0
-0.408,-0.402
-0.407,-0.804
-0.406,-0.804
-0.405,-2.01
-0.404,-2.41
-0.403,-1.61
-0.402,-0.402
-0.401,0
-0.4,0.804
-0.399,1.21
-0.398,1.21
-0.397,1.61
-0.396,0.804
-0.395,0
-0.394,-0.402
-0.393,0.402
-0.392,0.402
-0.391,0.804
-0.39,1.21
-0.389,0.402
-0.388,0.402
-0.387,0
-0.386,-0.804
-0.385,-1.21
-0.384,-2.01
-0.383,-0.804
-0.382,0.804
-0.381,1.61
-0.38,2.01
-0.379,1.61
-0.378,1.21
-0.377,1.61
-0.376,2.01
-0.375,0
-0.374,-0.402
-0.373,0.804
-0.372,1.21
-0.371,1.21
-0.37,1.21
-0.369,0.402
-0.368,0.402
-0.367,0
-0.366,-0.804
-0.365,-1.61
-0.364,-1.61
-0.363,-0.804
-0.362,0.402
-0.361,0.804
-0.36,0.804
-0.359,0.402
-0.358,1.21
-0.357,2.01
-0.356,1.21
-0.355,0.804
-0.354,0
-0.353,1.21
-0.352,1.61
-0.351,2.01
-0.35,1.61
-0.349,1.21
-0.348,-0.402
-0.347,0
-0.346,-1.21
-0.345,-1.61
-0.344,-2.01
-0.343,-1.21
-0.342,0
-0.341,0.402
-0.34,1.21
-0.339,1.21
-0.338,1.21
-0.337,1.21
-0.336,1.61
-0.335,0
-0.334,0
-0.333,0.402
-0.332,0.402
-0.331,1.21
-0.33,1.21
-0.329,1.21
-0.328,0
-0.327,-0.804
-0.326,-1.61
-0.325,-2.01
-0.324,-1.61
-0.323,-0.804
-0.322,0
-0.321,0.402
-0.32,0.402
-0.319,0.804
-0.318,1.21
-0.317,1.61
-0.316,0.804
-0.315,0.402
-0.314,0.402
-0.313,1.21
-0.312,2.01
-0.311,0.804
-0.31,0.402
-0.309,0.402
-0.308,-0.402
-0.307,0
-0.306,-1.21
-0.305,-2.01
-0.304,-2.41
-0.303,-0.402
-0.302,0.402
-0.301,0.804
-0.3,0.804
-0.299,-1.61
-0.298,0.804
-0.297,1.21
-0.296,0.402
-0.295,-0.402
-0.294,-0.804
-0.293,0.402
-0.292,0.804
-0.291,0.402
-0.29,0.804
-0.289,0.402
-0.288,-0.402
-0.287,-0.402
-0.286,-0.804
-0.285,-1.61
-0.284,-2.01
-0.283,-0.804
-0.282,-0.402
-0.281,0.804
-0.28,1.21
-0.279,0.804
-0.278,1.61
-0.277,0.01
-0.276,1.61
-0.275,-0.402
-0.274,0
-0.273,0
-0.272,0.402
-0.271,0.804
-0.27,0.402
-0.269,0.804
-0.268,0.402
-0.267,0
-0.266,-0.402
-0.265,-1.21
-0.264,-1.61
-0.263,-0.402
-0.262,0
-0.261,0.402
-0.26,1.61
-0.259,1.21
-0.258,1.21
-0.257,1.21
-0.256,0.402
-0.255,0
-0.254,-0.804
-0.253,0
-0.252,0
-0.251,0.804
-0.25,0.804
-0.249,0.804
-0.248,0.402
-0.247,0
-0.246,-0.804
-0.245,-1.21
-0.244,-1.61
-0.243,-1.21
-0.242,-0.402
-0.241,0
-0.24,0.402
-0.239,0.804
-0.238,0.804
-0.237,1.21
-0.236,1.21
-0.235,0.402
-0.234,0
-0.233,0.804
-0.232,0.804
-0.231,0.804
-0.23,0.804
-0.229,0.804
-0.228,0
-0.227,-0.402
-0.226,-0.804
-0.225,-1.21
-0.224,-1.61
-0.223,0
-0.222,0.804
-0.221,0.804
-0.22,1.21
-0.219,1.61
-0.218,1.61
-0.217,1.21
-0.216,0.402
-0.215,0
-0.214,-0.804
-0.213,0
-0.212,0
-0.211,0.402
-0.21,0.402
-0.209,0
-0.208,0
-0.207,0
-0.206,-0.804
-0.205,-1.61
-0.204,0
-0.203,-1.21
-0.202,-0.402
-0.201,0.402
-0.2,0.804
-0.199,1.61
-0.198,1.21
-0.197,1.61
-0.196,0.804
-0.195,-0.402
-0.194,0.402
-0.193,1.21
-0.192,1.21
-0.191,1.21
-0.19,0.804
-0.189,0.402
-0.188,0
-0.187,-0.804
-0.186,-1.21
-0.185,-2.01
-0.184,-2.01
-0.183,-0.804
-0.182,-0.402
-0.181,0.804
-0.18,1.21
-0.179,1.61
-0.178,2.41
-0.177,2.01
-0.176,2.01
-0.175,0.804
-0.174,0.804
-0.173,0.804
-0.172,1.21
-0.171,1.21
-0.17,1.21
-0.169,0
-0.168,-0.402
-0.167,-0.804
-0.166,-1.21
-0.165,-1.61
-0.164,-2.01
-0.163,-2.01
-0.162,-0.804
-0.161,-0.402
-0.16,0
-0.159,0.804
-0.158,1.21
-0.157,0.804
-0.156,1.21
-0.155,-0.402
-0.154,-1.21
-0.153,-0.402
-0.152,0.804
-0.151,1.21
-0.15,1.21
-0.149,0.804
-0.148,0
-0.147,0
-0.146,-1.21
-0.145,-1.61
-0.144,-1.21
-0.143,-0.402
-0.142,0
-0.141,1.21
-0.14,1.61
-0.139,1.61
-0.138,1.61
-0.137,1.21
-0.136,0.804
-0.135,-0.402
-0.134,-1.21
-0.133,-0.402
-0.132,0.804
-0.131,0.402
-0.13,0.402
-0.129,-0.402
-0.128,0
-0.127,-0.402
-0.126,-0.804
-0.125,-1.21
-0.124,-1.61
-0.123,-0.804
-0.122,-0.804
-0.121,0
-0.12,1.21
-0.119,1.61
-0.118,1.61
-0.117,1.61
-0.116,1.21
-0.115,0
-0.114,0
-0.113,1.804
-0.112,0.402
-0.111,1.21
-0.11,0.402
-0.109,0.402
