x,y
-5,0.577
-5,1.18
-4.99,-1.03
-4.99,2.59
-4.98,-0.629
-4.98,-0.0261
-4.97,-2.24
-4.97,1.98
-4.96,-0.0261
-4.96,2.19
-4.95,-1.03
-4.95,3.19
-4.94,-0.629
-4.94,1.78
-4.93,-1.63
-4.93,2.59
-4.92,0.175
-4.92,1.78
-4.91,-1.03
-4.91,1.78
-4.9,0.376
-4.9,1.18
-4.89,-2.44
-4.89,3.19
-4.88,-0.428
-4.88,1.58
-4.87,-1.84
-4.87,2.39
-4.86,0.175
-4.86,2.39
-4.85,-1.84
-4.85,4.4
-4.84,-1.23
-4.84,0.376
-4.83,-0.83
-4.83,3.79
-4.82,-0.428
-4.82,2.39
-4.81,-2.24
-4.81,3.99
-4.8,-0.0261
-4.8,1.18
-4.79,-1.84
-4.79,2.59
-4.78,-1.03
-4.78,1.58
-4.77,-2.44
-4.77,1.38
-4.76,0.376
-4.76,1.98
-4.75,-3.04
-4.75,3.19
-4.74,-0.428
-4.74,-0.0261
-4.73,-2.44
-4.73,2.19
-4.72,-0.0261
-4.72,2.39
-4.71,-1.03
-4.71,3.19
-4.7,0.175
-4.7,1.58
-4.69,-1.23
-4.69,2.79
-4.68,-0.428
-4.68,0.376
-4.67,-2.84
-4.67,2.39
-4.66,-0.227
-4.66,1.58
-4.65,-2.84
-4.65,2.59
-4.64,-0.0261
-4.64,0.577
-4.63,-2.24
-4.63,2.19
-4.62,-0.428
-4.62,0.175
-4.61,-1.23
-4.61,2.79
-4.6,-1.03
-4.6,1.18
-4.59,-2.24
-4.59,3.79
-4.58,-1.63
-4.58,0.376
-4.57,-0.83
-4.57,2.19
-4.56,-0.629
-4.56,3.19
-4.55,-1.03
-4.55,2.39
-4.54,2.19
-4.54,0.175
-4.53,-3.85
-4.53,2.99
-4.52,0.175
-4.52,-0.227
-4.51,-1.63
-4.51,2.39
-4.5,-1.23
-4.5,0.778
-4.49,-0.428
-4.49,0.778
-4.48,-0.629
-4.48,-0.227
-4.47,-2.84
-4.47,0.979
-4.46,0.175
-4.46,1.38
-4.45,-2.04
-4.45,3.39
-4.44,-0.0261
-4.44,0.376
-4.43,-2.24
-4.43,1.58
-4.42,1.38
-4.42,1.38
-4.41,-1.23
-4.41,1.58
-4.4,-0.227
-4.4,1.18
-4.39,-1.43
-4.39,1.98
-4.38,0.778
-4.38,0.979
-4.37,-2.04
-4.37,0.376
-4.36,-1.43
-4.36,-1.84
-4.35,-3.04
-4.35,2.19
-4.34,-0.83
-4.34,0.175
-4.33,-0.0261
-4.33,3.39
-4.32,-0.83
-4.32,0.376
-4.31,-2.24
-4.31,1.18
-4.3,-0.428
-4.3,0.175
-4.29,-1.63
-4.29,1.18
-4.28,-1.03
-4.28,0.778
-4.27,-2.04
-4.27,0.778
-4.26,-0.428
-4.26,0.175
-4.25,-2.44
-4.25,0.979
-4.24,-0.428
-4.24,0.175
-4.23,-1.23
-4.23,1.58
-4.22,0.376
-4.22,-1.23
-4.21,-1.84
-4.21,1.38
-4.2,-0.629
-4.2,-0.227
-4.19,-2.04
-4.19,0.778
-4.18,0.577
-4.18,-0.629
-4.17,-2.24
-4.17,0.778
-4.16,0.376
-4.16,-1.43
-4.15,-2.64
-4.15,0.979
-4.14,-0.83
-4.14,-0.227
-4.13,-1.43
-4.13,2.39
-4.12,-1.23
-4.12,-1.23
-4.11,-2.84
-4.11,1.38
-4.1,0.577
-4.1,-0.629
-4.09,-4.05
-4.09,3.39
-4.08,-0.428
-4.08,-3.04
-4.07,-1.84
-4.07,0.175
-4.06,3.19
-4.06,-3.44
-4.05,-3.24
-4.05,0.175
-4.04,0.175
-4.04,0.376
-4.03,-2.24
-4.03,-2.04
-4.02,-1.43
-4.02,0.175
-4.01,-4.45
-4.01,1.38
-4,0.577
-4,-0.227
-3.99,-2.24
-3.99,0.376
-3.98,0.175
-3.98,0.175
-3.97,-1.63
-3.97,1.18
-3.96,0.376
-3.96,-0.428
-3.95,-0.83
-3.95,0.175
-3.94,0.175
-3.94,-0.0261
-3.93,-1.63
-3.93,-0.83
-3.92,0.175
-3.92,-2.84
-3.91,-1.63
-3.91,-0.0261
-3.9,0.175
-3.9,-1.03
-3.89,-0.227
-3.89,1.18
-3.88,2.19
-3.88,0.577
-3.87,-1.43
-3.87,-0.629
-3.86,1.98
-3.86,-0.629
-3.85,-2.24
-3.85,-0.428
-3.84,-3.24
-3.84,-3.04
-3.83,-2.44
-3.83,0.778
-3.82,1.98
-3.82,1.18
-3.81,-0.0261
-3.81,-0.428
-3.8,1.18
-3.8,0.376
-3.79,0.376
-3.79,-0.83
-3.78,1.18
-3.78,0.778
-3.77,0.577
-3.77,-0.0261
-3.76,-0.0261
-3.76,-0.0261
-3.75,0.376
-3.75,-1.84
-3.74,1.18
-3.74,-0.0261
-3.73,-0.428
-3.73,0.175
-3.72,0.376
-3.72,-1.84
-3.71,-0.0261
-3.71,0.376
-3.7,1.78
-3.7,0.778
-3.69,1.18
-3.69,-0.428
-3.68,0.577
-3.68,0.577
-3.67,-0.0261
-3.67,-0.83
-3.66,2.99
-3.66,-0.227
-3.65,-0.227
-3.65,-0.83
-3.64,1.98
-3.64,-0.227
-3.63,-0.227
-3.63,-0.83
-3.62,0.778
-3.62,-1.03
-3.61,0.979
-3.61,-1.03
-3.6,1.78
-3.6,-0.83
-3.59,1.38
-3.59,-1.43
-3.58,2.59
-3.58,0.175
-3.57,0.376
-3.57,-1.84
-3.56,1.78
-3.56,-1.03
-3.55,0.979
-3.55,-0.629
-3.54,2.19
-3.54,-0.227
-3.53,0.979
-3.53,-1.84
-3.52,2.59
-3.52,-0.428
-3.51,0.577
-3.51,-1.43
-3.5,2.39
-3.5,0.376
-3.49,1.18
-3.49,-1.63
-3.48,2.39
-3.48,-0.83
-3.47,0.979
-3.47,-1.23
-3.46,1.98
-3.46,-1.84
-3.45,1.58
-3.45,-1.84
-3.44,3.39
-3.44,-0.227
-3.43,0.979
-3.43,-1.03
-3.42,2.19
-3.42,1.18
-3.41,1.38
-3.41,-1.23
-3.4,2.59
-3.4,-1.63
-3.39,0.979
-3.39,-2.64
-3.38,2.79
-3.38,-0.0261
-3.37,2.19
-3.37,0.376
-3.36,1.18
-3.36,-0.227
-3.35,-0.0261
-3.35,-3.44
-3.34,2.79
-3.34,0.175
-3.33,2.79
-3.33,-2.04
-3.32,2.99
-3.32,0.577
-3.31,1.78
-3.31,-2.04
-3.3,2.99
-3.3,0.376
-3.29,1.18
-3.29,-1.84
-3.28,2.99
-3.28,-0.428
-3.27,0.778
-3.27,-0.0261
-3.26,1.38
-3.26,-0.428
-3.25,1.58
-3.25,-2.44
-3.24,1.98
-3.24,-0.0261
-3.23,0.979
-3.23,-2.44
-3.22,2.39
-3.22,0.577
-3.21,1.38
-3.21,-3.44
-3.2,1.18
-3.2,2.19
-3.19,2.79
-3.19,-2.04
-3.18,3.59
-3.18,1.38
-3.17,2.19
-3.17,-1.23
-3.16,3.59
-3.16,0.376
-3.15,2.19
-3.15,-1.63
-3.14,1.78
-3.14,-0.83
-3.13,2.39
-3.13,-2.84
-3.12,1.78
-3.12,-1.23
-3.11,0.577
-3.11,-1.84
-3.1,0.577
-3.1,-1.43
-3.09,0.979
-3.09,-2.44
-3.08,2.79
-3.08,-0.83
-3.07,1.38
-3.07,-2.24
-3.06,2.79
-3.06,0.778
-3.05,2.19
-3.05,-1.03
-3.04,3.19
-3.04,-0.83
-3.03,0.979
-3.03,-1.84
-3.02,1.58
-3.02,-1.23
-3.01,1.58
-3.01,-1.84
-3,2.59
-3,-0.0261
-2.99,-0.83
-2.99,-2.64
-2.98,2.19
-2.98,-1.63
-2.97,1.38
-2.97,-1.63
-2.96,2.59
-2.96,0.577
-2.95,1.38
-2.95,-1.84
-2.94,2.59
-2.94,-0.0261
-2.93,0.376
-2.93,-1.43
-2.92,1.38
-2.92,-1.43
-2.91,0.376
-2.91,-3.04
-2.9,1.38
-2.9,-0.0261
-2.89,0.577
-2.89,-2.04
-2.88,1.98
-2.88,-0.428
-2.87,-0.428
-2.87,-2.44
-2.86,1.38
-2.86,0.577
-2.85,1.38
-2.85,-1.63
-2.84,1.58
-2.84,-0.83
-2.83,0.577
-2.83,-2.84
-2.82,2.19
-2.82,0.577
-2.81,0.778
-2.81,-0.629
-2.8,2.19
-2.8,0.376
-2.79,0.577
-2.79,-2.24
-2.78,1.18
-2.78,-0.83
-2.77,-0.629
-2.77,-2.04
-2.76,1.58
-2.76,-0.83
-2.75,-0.83
-2.75,-3.04
-2.74,0.778
-2.74,0.376
-2.73,-0.428
-2.73,-1.23
-2.72,1.98
-2.72,0.175
-2.71,0.175
-2.71,-2.64
-2.7,1.38
-2.7,-0.227
-2.69,-0.83
-2.69,-2.44
-2.68,1.78
-2.68,0.577
-2.67,-0.83
-2.67,-2.04
-2.66,0.778
-2.66,-1.03
-2.65,-1.03
-2.65,-3.04
-2.64,1.98
-2.64,-0.0261
-2.63,-1.23
-2.63,-2.24
-2.62,1.18
-2.62,-0.428
-2.61,-1.23
-2.61,-3.04
-2.6,2.19
-2.6,1.78
-2.59,-0.0261
-2.59,-0.629
-2.58,0.376
-2.58,-0.227
-2.57,-2.04
-2.57,-3.24
-2.56,0.577
-2.56,0.979
-2.55,-0.142
-2.55,-0.137
-2.54,1.98
-2.54,6.81
-2.53,3.59
-2.53,1.98
-2.52,3.19
-2.52,1.58
-2.51,-0.428
-2.51,-1.23
-2.5,1.18
-2.5,0.979
-2.49,-1.63
-2.49,-1.43
-2.48,0.778
-2.48,0.376
-2.47,-1.63
-2.47,-3.44
-2.46,-0.227
-2.46,-0.0261
-2.45,-1.03
-2.45,-1.03
-2.44,0.577
-2.44,0.778
-2.43,-2.24
-2.43,-1.84
-2.42,0.175
-2.42,-0.0261
-2.41,-2.44
-2.41,-2.84
-2.4,1.18
-2.4,2.19
-2.39,-0.83
-2.39,-0.227
-2.38,0.979
-2.38,0.778
-2.37,-1.23
-2.37,-2.64
-2.36,-0.227
-2.36,0.778
-2.35,-1.23
-2.35,-1.84
-2.34,0.577
-2.34,0.979
-2.33,-1.43
-2.33,-1.03
-2.32,-0.0261
-2.32,0.778
-2.31,-0.227
-2.31,-1.84
-2.3,-0.0261
-2.3,2.59
-2.29,-2.04
-2.29,-1.03
-2.28,0.577
-2.28,1.98
-2.27,-0.428
-2.27,-1.03
-2.26,0.175
-2.26,0.577
-2.25,-1.84
-2.25,-1.43
-2.24,-0.0261
-2.24,0.577
-2.23,-1.03
-2.23,-1.84
-2.22,-0.428
-2.22,1.38
-2.21,-1.03
-2.21,-0.83
-2.2,0.979
-2.2,2.19
-2.19,-0.428
-2.19,-0.629
-2.18,0.778
-2.18,2.19
-2.17,-2.44
-2.17,-1.63
-2.16,-1.03
-2.16,1.78
-2.15,-0.83
-2.15,-0.428
-2.14,0.376
-2.14,1.38
-2.13,-0.428
-2.13,0.979
-2.12,0.778
-2.12,2.39
-2.11,-1.03
-2.11,-0.227
-2.1,-1.03
-2.1,1.98
-2.09,-0.83
-2.09,-0.0261
-2.08,-0.83
-2.08,1.78
-2.07,-0.428
-2.07,0.175
-2.06,-0.227
-2.06,2.39
-2.05,-1.03
-2.05,0.577
-2.04,-0.227
-2.04,2.59
-2.03,-0.227
-2.03,1.18
-2.02,0.577
-2.02,2.99
-2.01,-1.23
-2.01,0.175
-2,-0.428
-2,2.39
-1.99,-2.44
-1.99,0.175
-1.98,-0.428
-1.98,2.99
-1.97,-0.428
-1.97,0.979
-1.96,-1.63
-1.96,2.59
-1.95,-1.03
-1.95,1.18
-1.94,-0.629
-1.94,3.39
-1.93,-0.83
-1.93,1.18
-1.92,-1.63
-1.92,3.99
-1.91,-0.629
-1.91,1.98
-1.9,-0.428
-1.9,2.59
-1.89,-1.03
-1.89,1.58
-1.88,-0.83
-1.88,2.79
-1.87,-0.629
-1.87,2.19
-1.86,-0.83
-1.86,3.19
-1.85,-0.428
-1.85,1.78
-1.84,-0.83
-1.84,2.99
-1.83,-1.43
-1.83,0.577
-1.82,-0.83
-1.82,3.39
-1.81,-0.0261
-1.81,0.577
-1.8,-1.63
-1.8,3.79
-1.79,-0.428
-1.79,0.979
-1.78,-1.23
-1.78,3.79
-1.77,-0.428
-1.77,1.18
-1.76,-1.23
-1.76,3.59
-1.75,-0.0261
-1.75,0.979
-1.74,-0.227
-1.74,2.99
-1.73,0.175
-1.73,0.778
-1.72,-2.24
-1.72,2.59
-1.71,-1.84
-1.71,1.18
-1.7,-1.84
-1.7,2.19
-1.69,-0.0261
-1.69,-0.227
-1.68,-1.63
-1.68,2.39
-1.67,0.175
-1.67,0.376
-1.66,-1.63
-1.66,3.19
-1.65,0.175
-1.65,0.376
-1.64,-1.43
-1.64,1.98
-1.63,0.979
-1.63,0.376
-1.62,-1.43
-1.62,3.59
-1.61,-0.0261
-1.61,0.778
-1.6,-2.84
-1.6,1.78
-1.59,0.175
-1.59,0.979
-1.58,-1.84
-1.58,2.39
-1.57,-0.428
-1.57,-0.0261
-1.56,-2.24
-1.56,2.19
-1.55,-0.0261
-1.55,0.376
-1.54,-0.428
-1.54,2.39
-1.53,-0.428
-1.53,1.18
-1.52,-2.84
-1.52,1.58
-1.51,-0.0261
-1.51,0.778
-1.5,-1.63
-1.5,3.19
-1.49,0.175
-1.49,1.38
-1.48,-0.629
-1.48,3.19
-1.47,0.577
-1.47,0.577
-1.46,-2.04
-1.46,1.78
-1.45,-0.83
-1.45,-0.83
-1.44,-2.24
-1.44,0.778
-1.43,-2.04
-1.43,-1.03
-1.42,-2.44
-1.42,2.59
-1.41,0.979
-1.41,0.778
-1.4,-0.83
-1.4,3.99
-1.39,2.19
-1.39,0.979
-1.38,-0.83
-1.38,0.979
-1.37,-1.23
-1.37,-0.227
-1.36,-3.04
-1.36,1.58
-1.35,0.577
-1.35,-0.0261
-1.34,-3.04
-1.34,2.19
-1.33,0.175
-1.33,-0.0261
-1.32,-2.84
-1.32,1.38
-1.31,-0.227
-1.31,0.175
-1.3,-1.63
-1.3,1.98
-1.29,-0.0261
-1.29,-0.0261
-1.28,-2.04
-1.28,1.58
-1.27,-0.629
-1.27,-1.84
-1.26,-2.44
-1.26,1.78
-1.25,-0.227
-1.25,-0.227
-1.24,-1.63
-1.24,2.39
-1.23,0.577
-1.23,-0.227
-1.22,-1.84
-1.22,1.18
-1.21,-0.0261
-1.21,-0.629
-1.2,-1.63
-1.2,1.78
-1.19,-0.83
-1.19,-1.23
-1.18,-2.64
-1.18,0.979
-1.17,-0.428
-1.17,-1.03
-1.16,-2.44
-1.16,1.18
-1.15,0.577
-1.15,-0.227
-1.14,-1.43
-1.14,2.59
-1.13,0.376
-1.13,-2.04
-1.12,-2.24
-1.12,0.979
-1.11,-0.629
-1.11,-1.43
-1.1,-2.04
-1.1,1.38
-1.09,0.778
-1.09,-2.04
-1.08,-2.24
-1.08,0.577
-1.07,0.376
-1.07,-0.428
-1.06,-1.43
-1.06,0.979
-1.05,0.979
-1.05,-1.84
-1.04,-1.84
-1.04,1.18
-1.03,-0.0261
-1.03,-1.43
-1.02,-2.04
-1.02,0.979
-1.01,0.376
-1.01,-1.63
-1,-1.63
-0.995,0.778
-0.99,-0.428
-0.985,-1.03
-0.98,-2.64
-0.975,0.577
-0.97,0.778
-0.965,-1.43
-0.96,-1.43
-0.955,0.979
-0.95,0.979
-0.945,-0.629
-0.94,-1.84
-0.935,-0.0261
-0.93,0.778
-0.925,-1.63
-0.92,-2.04
-0.915,1.18
-0.91,0.175
-0.905,-0.83
-0.9,-2.04
-0.895,0.175
-0.89,1.18
-0.885,-0.629
-0.88,-1.84
-0.875,1.18
-0.87,0.577
-0.865,-1.63
-0.86,-3.64
-0.855,0.376
-0.85,0.778
-0.845,-1.43
-0.84,-1.84
-0.835,0.577
-0.83,0.778
-0.825,-0.428
-0.82,-0.0261
-0.815,1.18
-0.81,0.979
