x,y
-1,4.719899
-0.999,7.13196
-0.998,6.327939
-0.997,5.523919
-0.996,-0.104221
-0.995,-0.104221
-0.994,-0.908242
-0.993,2.307839
-0.992,2.307839
-0.991,1.503819
-0.99,-0.104221
-0.989,-0.104221
-0.988,-0.104221
-0.987,-0.908242
-0.986,-0.104221
-0.985,-2.516282
-0.984,-4.124322
-0.983,-7.340402
-0.982,-7.340402
-0.981,-3.320302
-0.98,3.915879
-0.979,7.13196
-0.978,7.13196
-0.977,6.327939
-0.976,1.503819
-0.975,1.503819
-0.974,-0.104221
-0.973,1.503819
-0.972,1.503819
-0.971,2.307839
-0.97,-0.908242
-0.969,-0.908242
-0.968,-0.908242
-0.967,-0.908242
-0.966,-0.104221
-0.965,0.699799
-0.964,-0.104221
-0.963,-5.732362
-0.962,-5.732362
-0.961,-3.320302
-0.96,3.111859
-0.959,7.13196
-0.958,7.13196
-0.957,6.327939
-0.956,2.307839
-0.955,0.699799
-0.954,-1.712262
-0.953,0.699799
-0.952,-0.104221
-0.951,0.699799
-0.95,-0.104221
-0.949,-0.104221
-0.948,0.699799
-0.947,-0.104221
-0.946,1.503819
-0.945,0.699799
-0.944,-0.104221
-0.943,-6.536382
-0.942,-7.340402
-0.941,-4.928342
-0.94,3.111859
-0.939,7.13196
-0.938,7.13196
-0.937,6.327939
-0.936,2.307839
-0.935,0.699799
-0.934,0.699799
-0.933,2.307839
-0.932,2.307839
-0.931,2.307839
-0.93,-1.712262
-0.929,-3.320302
-0.928,-0.104221
-0.927,-0.104221
-0.926,1.503819
-0.925,1.503819
-0.924,-0.104221
-0.923,-5.732362
-0.922,-6.536382
-0.921,-3.320302
-0.92,3.915879
-0.919,7.93598
-0.918,8.74
-0.917,7.13196
-0.916,3.915879
-0.915,1.503819
-0.914,-0.104221
-0.913,3.915879
-0.912,3.111859
-0.911,3.915879
-0.91,1.503819
-0.909,-0.104221
-0.908,0.699799
-0.907,0.699799
-0.906,2.307839
-0.905,2.307839
-0.904,0.699799
-0.903,-4.928342
-0.902,-4.124322
-0.901,-2.516282
-0.9,5.523919
-0.899,7.93598
-0.898,8.74
-0.897,7.13196
-0.896,3.915879
-0.895,2.307839
-0.894,0.699799
-0.893,3.915879
-0.892,2.307839
-0.891,3.111859
-0.89,2.307839
-0.889,0.699799
-0.888,2.307839
-0.887,0.699799
-0.886,2.307839
-0.885,1.503819
-0.884,0.699799
-0.883,-5.732362
-0.882,-6.536382
-0.881,-3.320302
-0.88,4.719899
-0.879,7.93598
-0.878,7.93598
-0.877,7.13196
-0.876,3.111859
-0.875,1.503819
-0.874,-0.104221
-0.873,2.307839
-0.872,0.699799
-0.871,0.699799
-0.87,0.699799
-0.869,-0.104221
-0.868,1.503819
-0.867,-0.104221
-0.866,0.699799
-0.865,1.503819
-0.864,-0.104221
